"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"
"Topic 1"	"maven"	"project"	"ant"	"use"	"file"	"build"	"plugin"
"Topic 2"	"java"	"can"	"use"	"method"	"class"	"code"	"need"
"Topic 3"	"python"	"use"	"like"	"code"	"file"	"get"	"function"
"Topic 4"	"git"	"branch"	"repositori"	"file"	"chang"	"use"	"work"
"Topic 5"	"use"	"object"	"get"	"code"	"file"	"can"	"like"
"Topic 6"	"chang"	"creat"	"use"	"like"	"project"	"will"	"code"
"Topic 7"	"use"	"code"	"text"	"class"	"html"	"problem"	"need"
"Topic 8"	"use"	"can"	"python"	"need"	"object"	"list"	"will"
"Topic 9"	"css"	"div"	"page"	"like"	"can"	"html"	"use"
"Topic 10"	"can"	"use"	"python"	"like"	"want"	"work"	"code"
"Topic 11"	"use"	"work"	"can"	"control"	"make"	"css"	"look"
"Topic 12"	"queri"	"tabl"	"sql"	"databas"	"need"	"like"	"can"
"Topic 13"	"element"	"will"	"use"	"css"	"just"	"class"	"can"
"Topic 14"	"use"	"tabl"	"queri"	"mysql"	"want"	"sql"	"data"
"Topic 15"	"python"	"will"	"run"	"use"	"tri"	"code"	"file"
"Topic 16"	"java"	"use"	"can"	"maven"	"like"	"work"	"want"
"Topic 17"	"can"	"need"	"one"	"python"	"want"	"will"	"first"
"Topic 18"	"use"	"can"	"work"	"text"	"tri"	"css"	"like"
"Topic 19"	"use"	"can"	"file"	"chang"	"work"	"get"	"git"
"Topic 20"	"can"	"use"	"valu"	"server"	"file"	"user"	"two"
"Topic 21"	"chang"	"need"	"will"	"use"	"work"	"branch"	"like"
"Topic 22"	"use"	"file"	"maven"	"error"	"can"	"build"	"task"
"Topic 23"	"use"	"tabl"	"like"	"mysql"	"server"	"make"	"will"
"Topic 24"	"use"	"css"	"tri"	"code"	"can"	"make"	"http"
"Topic 25"	"can"	"branch"	"git"	"file"	"work"	"project"	"commit"
"Topic 26"	"can"	"work"	"first"	"valu"	"sql"	"user"	"run"
"Topic 27"	"git"	"commit"	"file"	"branch"	"svn"	"will"	"repositori"
"Topic 28"	"will"	"java"	"file"	"like"	"get"	"server"	"check"
"Topic 29"	"can"	"call"	"work"	"will"	"list"	"one"	"python"
"Topic 30"	"use"	"file"	"like"	"can"	"problem"	"need"	"get"
